185.175.119.206, 36442
187.237.121.46, 80
27.116.51.119, 8080
41.186.44.106, 3128
203.207.52.206, 8085
113.176.81.31, 55443
41.65.236.43, 1981
85.25.198.22, 5566
134.119.206.108, 1080
103.205.183.18, 55443
201.217.49.2, 80
36.37.177.186, 8080
83.221.208.217, 1981
154.236.177.100, 1981
221.144.56.29, 4001
150.129.171.35, 30093
96.36.8.51, 8080
190.119.199.21, 57333
178.22.196.119, 53281
200.116.198.131, 49422
37.29.80.161, 8080
177.234.196.187, 999
193.242.178.90, 44551
52.221.13.110, 3128
103.159.46.14, 82
80.90.173.118, 8080
43.224.10.35, 6666
27.131.179.220, 10443
27.72.105.233, 19132
36.95.249.157, 8080
78.186.85.159, 10001
217.74.161.241, 8080
170.80.200.193, 999
119.2.41.178, 8080
201.182.242.200, 999
103.146.185.103, 3127
190.61.46.7, 8080
193.57.43.193, 81
14.139.184.130, 3128
110.44.118.134, 8080
200.13.154.33, 8080
197.211.35.194, 8080
45.228.52.44, 999
202.182.57.10, 8080
45.161.115.250, 999
103.156.145.17, 83
212.180.252.34, 8181
103.161.165.2, 8181
190.186.18.161, 999
202.147.198.115, 8080
45.177.109.197, 8080
45.5.94.182, 3128
202.70.75.233, 8080
102.69.32.1, 8080
37.26.86.206, 47464
101.255.77.241, 8080
41.79.191.183, 80
103.146.185.107, 3127
202.138.240.185, 8080
181.36.64.213, 999
103.11.106.225, 8181
103.241.227.114, 6666
